Date,profit,inv,size,value,mom,rf,rm,mkt
2020-01-31,0.69512665825191,-1.52831715959312,-1.4755489356151201,0.73542131768327,5.38883696598028,0.12625,,
2020-02-29,-2.86900852851049,-1.8369029985004102,3.69050714219688,7.1401757537412,0.6894090328419801,0.15091666666666667,-5.81132156050478,-5.962238227171446
2020-03-31,-1.46825717379699,2.50504581902318,4.66861321920992,-0.42327639848245,-4.01474575396603,0.21933333333333335,-24.89939808884708,-25.118731422180414
2020-04-30,0.56709565581259,1.59354949238118,3.8710806759085505,4.65644276721412,-6.99217895647422,0.15608333333333332,16.08681871009616,15.930735376762827
2020-05-31,-0.16405102169382,-0.41743477332156004,-7.17674242703233,0.88771392888025,-3.7093000367915803,0.07875,12.398746603216711,12.319996603216712
2020-06-30,-0.34173719640646,1.1101232469594702,3.47383624657268,1.80448016394342,2.68052248401569,0.04975,-4.55307876502365,-4.60282876502365
2020-07-31,1.30865622879156,-0.21326228164270997,-1.29818008190873,-1.06270014600514,-0.15959291851562002,0.04275,-3.23835609797481,-3.28110609797481
2020-08-31,-1.3150800546972299,2.8218875929377303,3.89367650715827,5.12547860998012,-0.5330844526001499,0.034416666666666665,10.428487330753141,10.394070664086474
2020-09-30,-0.09336933158037,0.30531767887960004,2.8977898031115097,2.3024975066519597,1.30709002852739,0.022250000000000002,2.67226223558101,2.65001223558101
2020-10-31,0.96745569725489,-9.210937999756739,-4.17534689695458,-1.30026015163663,-4.49520350708654,0.02625,2.23815468233889,2.21190468233889
2020-11-30,0.7018952675249199,1.1098882920072999,2.80667972599411,4.4996612806519005,1.92341024731893,0.0245,8.386009270965019,8.36150927096502
2020-12-31,1.42993972091606,1.30245403681009,7.242266278006899,3.7544485244157397,0.50410891655648,0.025333333333333333,10.04805199984046,10.022718666507126
2021-01-31,-1.8685473118563,-1.64683345247211,1.52756664572142,-0.76696058270436,3.45897938788755,0.02691666666666667,-4.28130124018226,-4.308217906848927
2021-02-28,2.18157981652314,-0.182792036731,-0.0348784839317,2.3474271327417298,4.69294694848907,0.03133333333333333,10.58668761416228,10.555354280828947
2021-03-31,2.3996494334469602,0.8260883287780499,4.59773798071271,4.92263545363808,1.85421179640636,0.029083333333333333,1.96581854904276,1.9367352157094266
2021-04-30,3.84441302553672,-5.922764826361631,-7.4589310544336405,0.31030471439923,6.73824439075669,0.03166666666666667,4.02454173101456,3.9928750643478934
2021-05-31,9.28680393317892,-7.40941831278578,0.22438284738307998,8.486649656188531,19.0921765338287,0.0535,7.153519069865009,7.10001906986501
2021-06-30,-1.55037042781576,-0.2351924517997,-0.24091051512781003,-0.7711805391998,-4.03695288631293,0.04083333333333333,6.06151876811866,6.020685434785326
2021-07-31,1.10666220185019,-2.34275455995403,2.01538266461743,-1.6958752047943602,1.74113821686483,0.03775,-6.99300699300699,-7.03075699300699
