symbol,final_score,momentum,volume_strength,volatility,foreign_interest,recent_change
APG,0.4142088470640401,-0.0236966824644549,2.839012327721008,387.01356744310857,0.6074675442743372,-0.0093896713615023
VCF,0.4140895231308034,0.2626079054975011,0.0492610837438423,9700.261298134064,0.0591379310344827,-0.1762724550898203
BMP,0.3769974507057526,0.1158333333333333,0.1760194459578391,4561.86165040672,0.3329280695137113,-0.0755007704160246
FRT,0.3623133304316895,-0.1220930232558139,0.6416765912263476,5949.035630314204,0.3329342191301781,0.1740614334470989
HVH,0.3607515664484529,0.4803921568627451,2.3282804714666345,600.9341758100546,0.0286349746353359,-0.32
ILB,0.3294868922810456,-0.0666666666666666,1.168289290681502,750.4200116640128,0.4319888734353268,0.0714285714285714
GEE,0.3256885563751538,0.2627737226277372,0.3842969598262757,3482.1905418183374,0.0600145901194354,-0.2354910714285714
IMP,0.32543165825478,-0.0947916666666666,4.69698246797033,1434.4060706868431,0.0734783799730276,0.1111111111111111
NVT,0.3227432765202613,-0.0400485436893203,5.666412795125666,288.5506815879584,0.0022848438690022,0.0351758793969849
SAM,0.3211186423160558,-0.1117397454031117,6.230904952142393,236.4933104182361,0.0037390183477012,0.1222222222222222
TNH,0.3183918324619157,-0.0109890109890109,0.2744633894410384,607.7523187009874,0.4343253265638136,0.0027548209366391
FPT,0.3121617769093191,-0.1341085271317829,0.5067295015761556,4175.983305174596,0.2640947146346968,0.1517857142857142
SSB,0.311222547963113,-0.0354430379746835,4.762820836722182,493.0682949554805,0.0224519275749979,0.0233160621761658
HVN,0.3101494977185732,0.018363939899833,1.5183940878436712,1230.8871201264049,0.2262403120852882,-0.0291734197730956
VHM,0.3011888627761258,0.0721247563352826,0.9761824806751384,1806.8506139895012,0.1616605038430033,-0.0517560073937153
TBC,0.3011735321577139,0.0619354838709677,0.3785488958990536,1042.4650273910072,0.2712933753943217,-0.027603513174404
HAH,0.3008021962727755,0.1696252465483234,0.6192964073484571,2085.1904926365164,0.098716340419052,-0.143581081081081
VIC,0.299449034353309,0.0846560846560846,0.7527025246932109,2850.55274806994,0.1011738085353543,-0.1154446177847113
MWG,0.2978079562539746,-0.0779436152570481,0.3752864334931081,2043.8916494746595,0.3066110843656899,0.0710479573712255
SMC,0.2971772135182535,0.4480408858603066,0.1793872297265354,361.3026600903536,0.0104864600031803,-0.26625
