Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
ICI,logistic_regression,test,0.3103448275862069,0.9671592775041051,0.3103448275862069,0.43225357018460464
ICI,logistic_regression,train,0.8723404255319149,0.873015873015873,0.8723404255319149,0.8722826086956522
ICI,logistic_regression,valid,0.41935483870967744,0.8671078025916735,0.41935483870967744,0.5410138248847925
ICI,lstm,test,0.5172413793103449,0.967816091954023,0.5172413793103449,0.6479885057471264
ICI,lstm,train,0.7659574468085106,0.7664399092970521,0.7659574468085106,0.7658514492753624
ICI,lstm,valid,0.41935483870967744,0.810752688172043,0.41935483870967744,0.5527859237536658
ICI,svm,test,0.3103448275862069,0.9671592775041051,0.3103448275862069,0.43225357018460464
ICI,svm,train,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191
ICI,svm,valid,0.6451612903225806,0.8504398826979472,0.6451612903225806,0.7337128399746996
ICI,transformer,test,0.5862068965517241,0.9118773946360152,0.5862068965517241,0.7136431784107946
ICI,transformer,train,0.7872340425531915,0.7958041958041958,0.7872340425531915,0.7856817145462838
ICI,transformer,valid,0.41935483870967744,0.9419354838709677,0.41935483870967744,0.5262463343108505
