Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
PTT,logistic_regression,test,0.4878048780487805,0.6363636363636364,0.5185185185185185,0.5714285714285714
PTT,logistic_regression,train,0.8082595870206489,0.817629179331307,0.7935103244837758,0.8053892215568862
PTT,logistic_regression,valid,0.5222222222222223,0.6666666666666666,0.5666666666666667,0.6126126126126126
PTT,lstm,test,0.34146341463414637,0.0,0.0,0.0
PTT,lstm,train,0.5766961651917404,0.5860927152317881,0.5221238938053098,0.5522620904836193
PTT,lstm,valid,0.3333333333333333,0.0,0.0,0.0
PTT,svm,test,0.6585365853658537,0.6585365853658537,1.0,0.7941176470588235
PTT,svm,train,1.0,1.0,1.0,1.0
PTT,svm,valid,0.6666666666666666,0.6666666666666666,1.0,0.8
PTT,transformer,test,0.34146341463414637,0.0,0.0,0.0
PTT,transformer,train,0.6179941002949852,0.599009900990099,0.7138643067846607,0.6514131897711979
PTT,transformer,valid,0.3333333333333333,0.0,0.0,0.0
