Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
FDC,logistic_regression,test,0.5609756097560976,0.7083333333333334,0.6071428571428571,0.6538461538461539
FDC,logistic_regression,train,0.7431906614785992,0.7358490566037735,0.7587548638132295,0.7471264367816092
FDC,logistic_regression,valid,0.4888888888888889,0.46,0.5476190476190477,0.5
FDC,lstm,test,0.36585365853658536,0.55,0.39285714285714285,0.4583333333333333
FDC,lstm,train,0.5486381322957199,0.5545851528384279,0.49416342412451364,0.522633744855967
FDC,lstm,valid,0.5666666666666667,0.5789473684210527,0.2619047619047619,0.36065573770491804
FDC,svm,test,0.43902439024390244,0.631578947368421,0.42857142857142855,0.5106382978723404
FDC,svm,train,0.8287937743190662,0.8313725490196079,0.8249027237354085,0.828125
FDC,svm,valid,0.4777777777777778,0.44680851063829785,0.5,0.47191011235955055
FDC,transformer,test,0.5609756097560976,0.7083333333333334,0.6071428571428571,0.6538461538461539
FDC,transformer,train,0.566147859922179,0.5658914728682171,0.5680933852140078,0.566990291262136
FDC,transformer,valid,0.5777777777777777,0.5769230769230769,0.35714285714285715,0.4411764705882353
