Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
VHF,logistic_regression,test,0.926829268292683,0.95,0.9743589743589743,0.9620253164556962
VHF,logistic_regression,train,0.9503239740820735,0.9558498896247241,0.9931192660550459,0.9741282339707537
VHF,logistic_regression,valid,0.8777777777777778,0.8977272727272727,0.9753086419753086,0.9349112426035503
VHF,lstm,test,0.9512195121951219,0.9512195121951219,1.0,0.975
VHF,lstm,train,0.9416846652267818,0.9416846652267818,1.0,0.9699666295884316
VHF,lstm,valid,0.9,0.9,1.0,0.9473684210526315
VHF,svm,test,0.9512195121951219,0.9512195121951219,1.0,0.975
VHF,svm,train,0.9416846652267818,0.9416846652267818,1.0,0.9699666295884316
VHF,svm,valid,0.9,0.9,1.0,0.9473684210526315
VHF,transformer,test,0.9512195121951219,0.9512195121951219,1.0,0.975
VHF,transformer,train,0.9416846652267818,0.9416846652267818,1.0,0.9699666295884316
VHF,transformer,valid,0.9,0.9,1.0,0.9473684210526315
