Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
SDA,logistic_regression,test,0.5853658536585366,0.7142857142857143,0.25,0.37037037037037035
SDA,logistic_regression,train,0.5851851851851851,0.5598958333333334,0.7962962962962963,0.6574923547400612
SDA,logistic_regression,valid,0.5111111111111111,1.0,0.043478260869565216,0.08333333333333333
SDA,lstm,test,0.5121951219512195,0.0,0.0,0.0
SDA,lstm,train,0.5796296296296296,0.5843137254901961,0.5518518518518518,0.5676190476190476
SDA,lstm,valid,0.4888888888888889,0.0,0.0,0.0
SDA,svm,test,0.4878048780487805,0.4878048780487805,1.0,0.6557377049180327
SDA,svm,train,1.0,1.0,1.0,1.0
SDA,svm,valid,0.5111111111111111,0.5111111111111111,1.0,0.6764705882352942
SDA,transformer,test,0.5121951219512195,0.0,0.0,0.0
SDA,transformer,train,0.5592592592592592,0.5522875816993464,0.6259259259259259,0.5868055555555556
SDA,transformer,valid,0.5111111111111111,1.0,0.043478260869565216,0.08333333333333333
