Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
V12,logistic_regression,train,0.8469387755102041,0.8541666666666667,0.8469387755102041,0.8461538461538463
V12,logistic_regression,valid,0.6129032258064516,0.3756503642039542,0.6129032258064516,0.4658064516129032
V12,lstm,train,0.6938775510204082,0.7023033463711429,0.6938775510204082,0.6906565656565656
V12,lstm,valid,0.6129032258064516,0.3756503642039542,0.6129032258064516,0.4658064516129032
V12,svm,train,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
V12,svm,valid,0.8387096774193549,0.8861480075901328,0.8387096774193549,0.8403950517409917
V12,transformer,train,0.7142857142857143,0.7982608695652174,0.7142857142857143,0.692652329749104
V12,transformer,valid,0.6129032258064516,0.3756503642039542,0.6129032258064516,0.4658064516129032
