Ticker,Model,Month-Year,Index,Actual,Prediction,Prob_Class_0,Prob_Class_1,Correct
AAA,svm,2024-06-30,0,1,0,0.543072451,0.456927549,0
AAA,svm,2024-07-07,1,0,0,0.5390334743,0.4609665257,1
AAA,svm,2024-07-14,2,1,1,0.468947501,0.531052499,1
AAA,svm,2024-07-21,3,0,1,0.4761156868,0.5238843132,0
AAA,svm,2024-07-28,4,0,1,0.5,0.5,0
AAA,svm,2024-08-04,5,1,1,0.4782995415,0.5217004585,1
AAA,svm,2024-08-11,6,0,1,0.5,0.5,0
AAA,svm,2024-08-18,7,0,1,0.5,0.5,0
AAA,svm,2024-08-25,8,0,1,0.4884514119,0.5115485881,0
AAA,svm,2024-09-01,9,0,1,0.5,0.5,0
AAA,svm,2024-09-08,10,1,1,0.4896237957,0.5103762043,1
AAA,svm,2024-09-15,11,0,1,0.5,0.5,0
AAA,svm,2024-09-22,12,0,1,0.4874708466,0.5125291534,0
AAA,svm,2024-09-29,13,1,1,0.4531744705,0.5468255295,1
AAA,svm,2024-10-06,14,0,0,0.5195690915,0.4804309085,1
AAA,svm,2024-10-13,15,0,0,0.5242702366,0.4757297634,1
AAA,svm,2024-10-20,16,0,1,0.5,0.5,0
AAA,svm,2024-10-27,17,1,1,0.4577993022,0.5422006978,1
AAA,svm,2024-11-03,18,0,0,0.5397025194,0.4602974806,1
AAA,svm,2024-11-10,19,1,1,0.4608296952,0.5391703048,1
AAA,svm,2024-11-17,20,1,1,0.443640198,0.556359802,1
AAA,svm,2024-11-24,21,1,1,0.4426436939,0.5573563061,1
AAA,svm,2024-12-01,22,0,1,0.4717100797,0.5282899203,0
AAA,svm,2024-12-08,23,0,1,0.4317914901,0.5682085099,0
AAA,svm,2024-12-15,24,1,1,0.4364674961,0.5635325039,1
AAA,svm,2024-12-22,25,0,1,0.4498294889,0.5501705111,0
AAA,svm,2024-12-29,26,0,1,0.461655908,0.538344092,0
AAA,svm,2025-01-05,27,1,1,0.4895835835,0.5104164165,1
AAA,svm,2025-01-12,28,0,1,0.5,0.5,0
AAA,svm,2025-01-19,29,1,1,0.5,0.5,1
AAA,svm,2025-01-26,30,1,1,0.5,0.5,1
AAA,svm,2025-02-09,31,1,1,0.4692161201,0.5307838799,1
AAA,svm,2025-02-16,32,0,1,0.5,0.5,0
AAA,svm,2025-02-23,33,0,1,0.472638113,0.527361887,0
AAA,svm,2025-03-02,34,0,1,0.4713379719,0.5286620281,0
AAA,svm,2025-03-09,35,0,1,0.4846669199,0.5153330801,0
AAA,svm,2025-03-16,36,0,1,0.4782148331,0.5217851669,0
AAA,svm,2025-03-23,37,0,1,0.4557598743,0.5442401257,0
AAA,svm,2025-03-30,38,0,0,0.5099944918,0.4900055082,1
AAA,svm,2025-04-06,39,0,0,0.5228919266,0.4771080734,1
AAA,svm,2025-04-13,40,0,1,0.4809076431,0.5190923569,0
AAM,svm,2024-06-30,0,1,1,0.4703094619,0.5296905381,1
AAM,svm,2024-07-07,1,0,1,0.4829088412,0.5170911588,0
AAM,svm,2024-07-14,2,0,1,0.4864603433,0.5135396567,0
AAM,svm,2024-07-21,3,0,0,0.5,0.5,1
AAM,svm,2024-07-28,4,0,1,0.4920992595,0.5079007405,0
AAM,svm,2024-08-04,5,1,1,0.4731704216,0.5268295784,1
AAM,svm,2024-08-11,6,0,1,0.4805817997,0.5194182003,0
AAM,svm,2024-08-18,7,0,1,0.4863221369,0.5136778631,0
AAM,svm,2024-08-25,8,0,1,0.4841928639,0.5158071361,0
AAM,svm,2024-09-01,9,1,1,0.4811584674,0.5188415326,1
AAM,svm,2024-09-08,10,1,1,0.489169819,0.510830181,1
AAM,svm,2024-09-15,11,1,1,0.4838639534,0.5161360466,1
AAM,svm,2024-09-22,12,0,1,0.4873343534,0.5126656466,0
AAM,svm,2024-09-29,13,0,1,0.4867638425,0.5132361575,0
AAM,svm,2024-10-06,14,0,1,0.4887045832,0.5112954168,0
AAM,svm,2024-10-13,15,0,1,0.4870867152,0.5129132848,0
AAM,svm,2024-10-20,16,0,1,0.4864089562,0.5135910438,0
AAM,svm,2024-10-27,17,1,1,0.4860571865,0.5139428135,1
AAM,svm,2024-11-03,18,0,1,0.4918458522,0.5081541478,0
AAM,svm,2024-11-10,19,1,1,0.4889595804,0.5110404196,1
AAM,svm,2024-11-17,20,1,1,0.482593105,0.517406895,1
AAM,svm,2024-11-24,21,0,0,0.4937950701,0.5062049299,1
AAM,svm,2024-12-01,22,1,1,0.4897941187,0.5102058813,1
AAM,svm,2024-12-08,23,0,1,0.4866071507,0.5133928493,0
AAM,svm,2024-12-15,24,1,1,0.4918424347,0.5081575653,1
AAM,svm,2024-12-22,25,0,1,0.4885326871,0.5114673129,0
AAM,svm,2024-12-29,26,0,0,0.4937978861,0.5062021139,1
AAM,svm,2025-01-05,27,0,1,0.4838882646,0.5161117354,0
AAM,svm,2025-01-12,28,1,1,0.4859852994,0.5140147006,1
AAM,svm,2025-01-19,29,0,1,0.332287856,0.667712144,0
AAM,svm,2025-01-26,30,1,0,0.5568415455,0.4431584545,0
AAM,svm,2025-02-09,31,0,1,0.3550623922,0.6449376078,0
AAM,svm,2025-02-16,32,1,1,0.4152517034,0.5847482966,1
AAM,svm,2025-02-23,33,0,0,0.8344480341,0.1655519659,1
AAM,svm,2025-03-02,34,1,0,0.5651330996,0.4348669004,0
AAM,svm,2025-03-09,35,0,1,0.3975752339,0.6024247661,0
AAM,svm,2025-03-16,36,1,0,0.7085749443,0.2914250557,0
AAM,svm,2025-03-23,37,0,1,0.3261993133,0.6738006867,0
AAM,svm,2025-03-30,38,1,1,0.4019255621,0.5980744379,1
AAM,svm,2025-04-06,39,0,1,0.4669645388,0.5330354612,0
AAM,svm,2025-04-13,40,0,0,0.7320617809,0.2679382191,1
ABI,svm,2024-06-30,0,1,1,0.4587601204,0.5412398796,1
ABI,svm,2024-07-07,1,0,1,0.4587601206,0.5412398794,0
ABI,svm,2024-07-14,2,0,1,0.4587601207,0.5412398793,0
ABI,svm,2024-07-21,3,0,1,0.4587601213,0.5412398787,0
ABI,svm,2024-07-28,4,0,1,0.4587601217,0.5412398783,0
ABI,svm,2024-08-04,5,1,1,0.4587601297,0.5412398703,1
ABI,svm,2024-08-11,6,1,1,0.4587601232,0.5412398768,1
ABI,svm,2024-08-18,7,1,1,0.4587601223,0.5412398777,1
ABI,svm,2024-08-25,8,1,1,0.458760121,0.541239879,1
ABI,svm,2024-09-01,9,0,1,0.4587601442,0.5412398558,0
ABI,svm,2024-09-08,10,0,1,0.4587601363,0.5412398637,0
ABI,svm,2024-09-15,11,1,1,0.4587601223,0.5412398777,1
ABI,svm,2024-09-22,12,1,1,0.4587601312,0.5412398688,1
ABI,svm,2024-09-29,13,1,1,0.45876016,0.54123984,1
ABI,svm,2024-10-06,14,0,1,0.4587601304,0.5412398696,0
ABI,svm,2024-10-13,15,0,1,0.45876013,0.54123987,0
ABI,svm,2024-10-20,16,1,1,0.4587601196,0.5412398804,1
ABI,svm,2024-10-27,17,0,1,0.4587601567,0.5412398433,0
ABI,svm,2024-11-03,18,0,1,0.4587603598,0.5412396402,0
ABI,svm,2024-11-10,19,0,1,0.45876025,0.54123975,0
ABI,svm,2024-11-17,20,1,1,0.4587601667,0.5412398333,1
ABI,svm,2024-11-24,21,1,1,0.4587601038,0.5412398962,1
ABI,svm,2024-12-01,22,1,1,0.4587602081,0.5412397919,1
ABI,svm,2024-12-08,23,1,1,0.4587622955,0.5412377045,1
ABI,svm,2024-12-15,24,1,1,0.4587620684,0.5412379316,1
ABI,svm,2024-12-22,25,0,1,0.4587644345,0.5412355655,0
ABI,svm,2024-12-29,26,0,1,0.4587601756,0.5412398244,0
ABI,svm,2025-01-05,27,1,1,0.4587602041,0.5412397959,1
ABI,svm,2025-01-12,28,1,1,0.4587601096,0.5412398904,1
ABI,svm,2025-01-19,29,1,1,0.4587596196,0.5412403804,1
ABI,svm,2025-01-26,30,1,1,0.4587599896,0.5412400104,1
ABI,svm,2025-02-09,31,1,1,0.4587602737,0.5412397263,1
ABI,svm,2025-02-16,32,0,1,0.4587587532,0.5412412468,0
ABI,svm,2025-02-23,33,0,1,0.4587600035,0.5412399965,0
ABI,svm,2025-03-02,34,0,1,0.4587632645,0.5412367355,0
ABI,svm,2025-03-09,35,0,1,0.4587614141,0.5412385859,0
ABI,svm,2025-03-16,36,0,1,0.4587605644,0.5412394356,0
ABI,svm,2025-03-23,37,0,1,0.458760854,0.541239146,0
ABI,svm,2025-03-30,38,0,1,0.4587614054,0.5412385946,0
ABI,svm,2025-04-06,39,0,1,0.4587656518,0.5412343482,0
ABI,svm,2025-04-13,40,0,1,0.4587621038,0.5412378962,0
ABT,svm,2024-06-30,0,1,0,0.6587357362,0.3412642638,0
ABT,svm,2024-07-07,1,0,0,0.580029118,0.419970882,1
ABT,svm,2024-07-14,2,1,1,0.3781833819,0.6218166181,1
ABT,svm,2024-07-21,3,0,0,0.6361814829,0.3638185171,1
ABT,svm,2024-07-28,4,1,1,0.488879635,0.511120365,1
ABT,svm,2024-08-04,5,0,0,0.7928553756,0.2071446244,1
ABT,svm,2024-08-11,6,1,1,0.3240491182,0.6759508818,1
ABT,svm,2024-08-18,7,0,0,0.6224429772,0.3775570228,1
ABT,svm,2024-08-25,8,1,1,0.3550720928,0.6449279072,1
ABT,svm,2024-09-01,9,0,0,0.7717591672,0.2282408328,1
ABT,svm,2024-09-08,10,0,1,0.375663824,0.624336176,0
ABT,svm,2024-09-15,11,0,0,0.7342700296,0.2657299704,1
ABT,svm,2024-09-22,12,0,1,0.3757538011,0.6242461989,0
ABT,svm,2024-09-29,13,0,1,0.4663480832,0.5336519168,0
ABT,svm,2024-10-06,14,0,0,0.5297939346,0.4702060654,1
